speaker,start,stop,duration,country,family,recipient,theme,round,speech_act,utterance,age
mother,2400,3140,740,Argentina,A01,c,1,1,a,mamá,2.1013698630136988
mother,6750,8070,1320,Argentina,A01,c,3,1,a,hm,2.1013698630136988
child,9070,9980,910,Argentina,A01,b,3,2,a,hm,2.1013698630136988
mother,12830,14710,1880,Argentina,A01,c,3,3,a,hm,2.1013698630136988
father,15760,16330,570,Argentina,A01,c,3,4,q,hm,2.1013698630136988
mother,16120,17020,900,Argentina,A01,c,3,5,q,y le gusta a child,2.1013698630136988
father,22170,22770,600,Argentina,A01,m,4,1,q,color,2.1013698630136988
mother,22860,29480,6620,Argentina,A01,c,5,1,a,hoy fue una princesa al jardín...en tu salita o no fue en tu salita no me fijé bien en la foto,2.1013698630136988
father,25020,25670,650,Argentina,A01,m,5,2,q,quién ???,2.1013698630136988
father,30030,30780,750,Argentina,A01,m,5,3,q,era el cumpleaños,2.1013698630136988
mother,32520,37535,5015,Argentina,A01,f,5,4,a,parece que sí de una nena pero no del grupo de él porque me fijé en el cuaderno,2.1013698630136988
mother,40880,44030,3150,Argentina,A01,f,5,5,a,que hace rato mandaron una lista con el nombre de,2.1013698630136988
mother,46670,47790,1120,Argentina,A01,f,5,6,a,de cada equipo,2.1013698630136988
father,46810,48480,1670,Argentina,A01,m,5,7,a,de todos...hm,2.1013698630136988
mother,48370,49660,1290,Argentina,A01,f,5,8,a,con la fecha de cumpleaños,2.1013698630136988
child,52420,55620,3200,Argentina,A01,f,6,1,a,papá...papá,2.1013698630136988
child,60490,61270,780,Argentina,A01,f,6,2,a,papá,2.1013698630136988
father,61360,62840,1480,Argentina,A01,c,6,3,a,sí esto toma sólo papá,2.1013698630136988
father,64790,69190,4400,Argentina,A01,m,6,4,a,"a mamá le vamos a convidar un traguito para que pruebe...es rubia pero tiene 8,5 ojo",2.1013698630136988
mother,69230,70830,1600,Argentina,A01,f,6,5,a,epa tiene un montón,2.1013698630136988
father,71060,71750,690,Argentina,A01,m,6,6,a,eh,2.1013698630136988
mother,74090,75460,1370,Argentina,A01,f,6,7,q,cuál tiene esa graduación,2.1013698630136988
father,76190,78590,2400,Argentina,A01,m,6,8,a,ninguna tomá quéres probar es riquísima,2.1013698630136988
mother,78650,80540,1890,Argentina,A01,f,6,9,a,no pará ??? tomar esa cosa,2.1013698630136988
father,83400,92960,9560,Argentina,A01,m,6,10,a,claro la quilmes night te acordás que habían sacado una edición...quilmes night quilmes de noche era azul oscura bien azul la botella,2.1013698630136988
mother,94930,95910,980,Argentina,A01,f,6,11,a,no no me acuerdo,2.1013698630136988
